agency_cd,site_no,measurement_nu,measurement_dt,tz_cd,q_meas_used_fg,party_nm,site_visit_coll_agency_cd,gage_height_va,discharge_va,measured_rating_diff,gage_va_change,gage_va_time,control_type_cd,discharge_cd,chan_nu,chan_name,meas_type,streamflow_method,velocity_method,chan_discharge,chan_width,chan_area,chan_velocity,chan_stability,chan_material,chan_evenness,long_vel_desc,horz_vel_desc,vert_vel_desc,chan_loc_cd,chan_loc_dist
5s,15s,6s,19d,12s,1s,12s,5s,12s,12s,12s,7s,6s,21s,15s,11n,64s,4s,5s,5s,14s,14s,14s,14s,4s,4s,4s,12s,9s,12s,7s,14s
USGS,11264500,1,1915-08-20,,Yes,CLE/CLE,USGS,2.10,110,Unspecified,0.00,0.50,,NONE,1,Imported Channel 1,UNSP,other,,110,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11264500,2,1915-08-23,,Yes,CLE/CLE,USGS,2.12,116,Unspecified,0.00,0.80,,NONE,1,Imported Channel 1,UNSP,other,,116,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11264500,3,1915-09-27,,Yes,CLE/CLE,USGS,1.48,29.0,Unspecified,0.00,0.50,,NONE,1,Imported Channel 1,UNSP,other,,29.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11264500,4,1916-05-07,,Yes,CLE/CLE,USGS,5.40,1680,Unspecified,0.00,1.90,,NONE,1,Imported Channel 1,UNSP,other,,1680,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11264500,5,1916-05-08,,Yes,CLE/CLE,USGS,5.48,1800,Unspecified,-0.05,0.80,,NONE,1,Imported Channel 1,UNSP,other,,1800,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11264500,6,1916-06-05,,Yes,LEE/LEE,USGS,5.35,1640,Unspecified,0.00,1.00,,NONE,1,Imported Channel 1,UNSP,other,,1640,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11264500,7,1916-06-06,,Yes,LEE/LEE,USGS,5.90,2180,Unspecified,0.00,0.80,,NONE,1,Imported Channel 1,UNSP,other,,2180,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11264500,8,1916-07-10,,Yes,CJE/CJE,USGS,4.32,879,Unspecified,-0.04,1.00,,NONE,1,Imported Channel 1,UNSP,other,,879,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11264500,9,1916-07-14,,Yes,LEI/LEI,USGS,4.44,950,Unspecified,0.05,0.70,,NONE,1,Imported Channel 1,UNSP,other,,950,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11264500,10,1916-10-17,,Yes,FCE/FCE,USGS,2.22,225,Unspecified,0.00,1.00,,NONE,1,Imported Channel 1,UNSP,other,,225,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11264500,11,1916-10-19,,Yes,FCE/FCE,USGS,2.07,185,Unspecified,-0.03,1.00,,NONE,1,Imported Channel 1,UNSP,other,,185,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11264500,12,1916-11-02,,Yes,FCE/FCE,USGS,1.31,71.0,Unspecified,0.00,0.50,,NONE,1,Imported Channel 1,UNSP,other,,71.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11264500,13,1917-01-21,,Yes,LEI/LEI,USGS,1.04,40.0,Unspecified,0.00,0.40,,NONE,1,Imported Channel 1,UNSP,other,,40.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11264500,15,1917-06-06,,Yes,LEI/LEI,USGS,5.21,1840,Unspecified,-0.08,0.80,,NONE,1,Imported Channel 1,UNSP,other,,1840,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11264500,16,1917-06-06,,Yes,LEI/LEI,USGS,5.12,1750,Unspecified,-0.05,0.90,,NONE,1,Imported Channel 1,UNSP,other,,1750,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11264500,17,1917-06-07,,Yes,LEI/LEI,USGS,5.38,2060,Unspecified,-0.05,1.00,,NONE,1,Imported Channel 1,UNSP,other,,2060,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11264500,19,1917-06-08,,Yes,LEI/LEI,USGS,6.05,2680,Unspecified,-0.06,1.10,,NONE,1,Imported Channel 1,UNSP,other,,2680,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11264500,18,1917-06-08,,Yes,LEI/LEI,USGS,6.12,2720,Unspecified,-0.07,0.80,,NONE,1,Imported Channel 1,UNSP,other,,2720,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11264500,20,1917-06-29,,Yes,JFK/JFK,USGS,4.32,1190,Unspecified,-0.09,1.10,,NONE,1,Imported Channel 1,UNSP,other,,1190,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11264500,21,1917-06-30,,Yes,JFK/JFK,USGS,4.02,1060,Unspecified,-0.04,0.70,,NONE,1,Imported Channel 1,UNSP,other,,1060,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11264500,23,1917-07-31,,Yes,HDM/HDM,USGS,2.14,208,Unspecified,0.00,1.00,,NONE,1,Imported Channel 1,UNSP,other,,208,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11264500,24,1917-08-01,,Yes,HDM/HDM,USGS,2.78,386,Unspecified,-0.05,1.00,,NONE,1,Imported Channel 1,UNSP,other,,386,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11264500,26,1918-08-27,,Yes,HDM/HDM,USGS,0.93,30.0,Unspecified,0.00,0.80,,NONE,1,Imported Channel 1,UNSP,other,,30.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11264500,27,1918-08-29,,Yes,LEI/LEI,USGS,1.03,40.0,Unspecified,0.00,0.40,,NONE,1,Imported Channel 1,UNSP,other,,40.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11264500,28,1918-09-15,,Yes,LEI/LEI,USGS,2.25,239,Unspecified,-0.02,0.50,,NONE,1,Imported Channel 1,UNSP,other,,239,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11264500,29,1918-09-17,,Yes,LEI/LEI,USGS,1.65,114,Unspecified,0.00,0.50,,NONE,1,Imported Channel 1,UNSP,other,,114,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11264500,25,1918-10-25,,Yes,JFK/JFK,USGS,0.54,13.0,Unspecified,0.00,0.40,,NONE,1,Imported Channel 1,UNSP,other,,13.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11264500,30,1919-03-24,,Yes,LEI/LEI,USGS,1.46,82.0,Unspecified,0.03,0.50,,NONE,1,Imported Channel 1,UNSP,other,,82.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11264500,31,1919-06-14,,Yes,KES/KES,USGS,2.50,296,Unspecified,0.00,0.50,,NONE,1,Imported Channel 1,UNSP,other,,296,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11264500,32,1919-06-16,,Yes,KES/KES,USGS,2.57,288,Unspecified,1.00,0.80,,NONE,1,Imported Channel 1,UNSP,other,,288,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11264500,34,1919-09-12,,Yes,KES/KES,USGS,0.57,10.8,Unspecified,0.00,0.30,,NONE,1,Imported Channel 1,UNSP,other,,10.8,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11264500,33,1919-09-12,,Yes,KES/KES,USGS,0.58,9.40,Unspecified,0.00,0.40,,NONE,1,Imported Channel 1,UNSP,other,,9.40,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11264500,36,1921-06-13,,Yes,RCB/RCB,USGS,5.76,2250,Unspecified,0.00,0.70,,NONE,1,Imported Channel 1,UNSP,other,,2250,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11264500,37,1921-08-01,,Yes,RCB/RCB,USGS,1.93,170,Unspecified,-0.01,0.50,,NONE,1,Imported Channel 1,UNSP,other,,170,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11264500,35,1921-10-28,,Yes,KES/KES,USGS,1.73,123,Unspecified,0.00,0.80,,NONE,1,Imported Channel 1,UNSP,other,,123,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
