Site No,Location,Gage,Remarks,Valid
12010000,"LOCATION - Lat 46Â°22'27"", long 123Â°44'32"" referenced to North American Datum of 1927, in SW 1/4 SW 1/4 sec.01, T.10 N., R.9 W., Pacific County, WA, Hydrologic Unit 17100106, on right bank 0.2 mi upstream from county highway bridge, 2.2 mi upstream from Salmon Creek, 3.4 mi east of Naselle, and at mile 17.4.","GAGE - Water-stage recorder. Datum of gage is 24.30 ft above NAVD of 1988 (USGS levels) and 24 ft above NGVD of 1929 (by barometer and map). Prior to Jan. 11, 1957, nonrecording gage and crest-stage gage at site 1,350 ft downstream at present datum. Jan. 11, 1957, to Dec. 31, 1961, nonrecording gage and crest-stage gage at site 1,200 ft downstream at present datum.","REMARKS - No regulation or diversion upstream from station. Chemical analyses October 1965 to September 1970, January to September 1973, November 1975 to June 1980. Water temperatures August 1963 to September 1973. U.S. Geological Survey satellite telemeter at station.",2.0
12013500,"LOCATION - Lat 46Â°39'04"", long 123Â°39'05"" referenced to North American Datum of 1927, in SW 1/4 SW 1/4 sec.35, T.14 N., R.8 W., Pacific County, WA, Hydrologic Unit 17100106, on upstream side of Camp 1 Road bridge, 4,500 ft downstream from Mill Creek, 1.8 mi southeast of Willapa, and at mile 17.4.","GAGE - Water-stage recorder and crest-stage gage. Datum of gage is 6.919 ft above NAVD of 1988. Prior to June 8, 2021 datum of gage was 3.57 ft above NGVD of 1929. Aug. 26 to Oct. 16, 1947, water-stage recorder at site 2,060 ft upstream at different datum. July 28, 1948, to Dec. 2, 1954, water-stage recorder, water years 1955-56, 1958-59, nonrecording gage, and Apr. 1, 1961, to Apr. 14, 1974, water-stage recorder at site 2,000 ft upstream at datum 2.12 ft higher. Apr. 15, 1974 to July 31, 2013, water stage recorder at site 250 ft upstream at same datum.",REMARKS - Some diversion for domestic use and irrigation upstream from station. No regulation. Some discharges are affected by extreme high tides. U.S. Geological Survey satellite telemeter at station. Chemical analyses October 1965 to September 1986.,1.0
12020000,"LOCATION - Lat 46Â°37'03"", long 123Â°16'35"" referenced to North American Datum of 1927, in NE 1/4 NW 1/4 sec.14, T.13 N., R.5 W., Lewis County, WA, Hydrologic Unit 17100103, on right bank 1.3 mi south of Doty, 1.6 mi upstream from Elk Creek, 3.4 mi north of Pe Ell, and at mile 101.8.","GAGE - Water-stage recorder and crest-stage gage. Datum of gage is 301.1 ft above NGVD of 1929 (river-profile survey). Prior to Oct. 1, 1961, nonrecording gage and crest-stage gage at site 50 ft upstream at datum 1 ft higher than current datum. Oct. 1, 1961 to Sept. 15, 1995, water-stage recorder at site 150 ft upstream at datum 1 ft higher than current datum. Sept. 16, 1995 to Sept. 22, 1999, at same site at datum 1 ft higher than current datum.","REMARKS - No regulation upstream from station. U.S. Geological Survey satellite telemeter at station. Chemical analysis July 1959 to September 1970, sediment records October 1961 to December 1964 (partial-record station).",2.0
12020525,"LOCATION - Lat 46Â°38'05"", long 123Â°17'44"" referenced to North American Datum of 1927, in NE 1/4 NW 1/4 sec.10, T.13 N., R.5 W., Lewis County, WA, Hydrologic Unit 17100103, on upstream side of Elk Creek Road Bridge, 0.9 mi downstream of Deer Creek 4.0 mi north of Pe Ell, and 0.8 mi west of Doty.","GAGE - Water-stage recoder. Datum of gage is NAVD of 1988, from precision Global Positioning System (GPS) and USGS levels. Prior to May 1, 2018, datum of gage is NGVD of 1929, from precision Global Positioning System (GPS).","REMARKS - No known diversions upstream of station. U.S. Geological Survey telemeter at station.
Water Years 2014 to 2018: (Seasonal Oct. 1 - Apr. 30) Records fair except for discharges above 800 ft3/s, which are poor.
Water Years 2019 to 2021: (Seasonal Oct. 1-Apr. 30) No estimated discharges. Records fair except for discharges above 800 ft3/s, which are poor.",2.0
12020800,"LOCATION - Lat 46Â°26'42"", long 123Â°04'57"" referenced to North American Datum of 1927, in NW 1/4 NE 1/4 sec.17, T.11 N., R.3 W., Lewis County, WA, Hydrologic Unit 17100103, on left bank at Wildwood Road bridge, 0.4 mi downstream from Black Creek, 1.2 mi southeast of Wildwood, and at mile 16.2.","GAGE - Water-stage recorder and crest-stage gage. Datum of gage is NAVD of 1988. Prior to May 1, 2018 at same site at datum NGVD of 1929 (levels by Lewis County).",REMARKS - No regulation or diversion upstream from station. U.S. Geological Survey satellite telemeter at station.,2.0
12021800,"LOCATION - Lat 46Â°37'33"", long 123Â°06'02"" referenced to North American Datum of 1927, in NE 1/4 SE 1/4 sec.07, T.13 N., R.3 W., Lewis County, WA, Hydrologic Unit 17100103, on right bank at railroad bridge, 2.0 mi downstream from South Fork Chehalis River, 2.0 mi west of Adna, and at mile 86.0.","GAGE - Water-stage recorder. Datum of gage is NAVD of 1988. Prior to May 8, 2018, water stage recorder at present site at datum NGVD of 1929 (levels by Lewis County).",REMARKS - Probably some diversion upstream for irrigation and domestic use. U.S. Geological Survey satellite telemeter at station.,1.0
12024000,"LOCATION - Lat 46Â°34'33"", long 122Â°41'02"" referenced to North American Datum of 1927, in SW 1/4 SE 1/4 sec.28, T.13 N., R.1 E., Lewis County, WA, Hydrologic Unit 17100103, on right bank at Jorgenson Road bridge, 1 mi upstream from Lost Creek, 1.7 mi east of Onalaska, and at mile 22.8.","GAGE - Water-stage recorder and crest-stage gage. Datum of gage is NAVD of 1988. Prior to May 3, 2018 datum of gage was NGVD of 1929 (levels by Lewis County). Prior to October 1998 at same site at different datum. Prior to September 28, 1944, nonrecording gage at same site at different datum.",REMARKS - Probably some small diversions for irrigation and domestic use upstream from station. No regulation. U.S. Geological Survey satellite telemeter at station.,1.0
12024400,"LOCATION - Lat 46Â°40'03"", long 122Â°46'08"" referenced to North American Datum of 1927, in NW 1/4 SE 1/4 sec.26, T.14 N., R.1 W., Lewis County, WA, Hydrologic Unit 17100103, on right bank 0.5 mi upstream from Bear Creek, at North Fork Road bridge, 6.3 mi northeast of Forest, and at mile 7.7.","GAGE - Water-stage recorder and crest-stage gage. Datum of gage is NAVD of 1988. Prior to May 3, 2018 datum of gage was NGVD of 1929 (levels by Lewis County).",REMARKS - Probably some small diversions for irrigation and domestic use upstream from station. U.S. Geological Survey satellite telemeter at station.,1.0
12025000,"LOCATION - Lat 46Â°37'13"", long 122Â°56'38"" referenced to North American Datum of 1927, in SW 1/4 SW 1/4 sec.09, T.13 N., R.2 W., Lewis County, WA, Hydrologic Unit 17100103, on left bank 75 ft downstream from bridge, 3.0 mi southeast of Chehalis, and at mile 4.1.","GAGE - Water-stage recorder. Datum of gage is NAVD of 1988. Prior to May 8, 2018, gage at present site and at datum 190 ft above NGVD of 1929 (from topographic map).","REMARKS - No regulation. The City of Chehalis diverts water from the N.F. Newaukum River upstream of the station for municipal use. Some diversion for irrgation upstream from station during summer months. U.S. Geological Survey satellite telemeter at station.
Water Year 2014: During the 2014 water year the City of Chehalis diverted an average of 2.87 ft3/s from the N. F. Newaukum River upstream of the station for municipal use. Water Year 2015: During the 2015 water year the City of Chehalis diverted an average of 2.68 ft3/s from the N. F. Newaukum River upstream of the station for municipal use.
Water Year 2016: During the 2016 water year the City of Chehalis diverted an average of 2.81 ft3/s from the N. F. Newaukum River upstream of the station for municipal use.
Water Year 2017: During the 2017 water year the City of Chehalis diverted an average of 2.76 ft3/s from the N. F. Newaukum River upstream of the station for municipal use.
Water Year 2018: During the 2018 water year the City of Chehalis diverted an average of 2.58 ft3/s from the N. F. Newaukum River upstream of the station for municipal use.
Water Year 2019: During the 2019 water year the City of Chehalis diverted an average of 2.59 ft3/s from the N. F. Newaukum River upstream of the station for municipal use.
Water Year 2020: During the 2020 water year the City of Chehalis diverted an average of 2.69 ft3/s from the N. F. Newaukum River upstream of the station for municipal use.
Water Year 2021: During the 2021 water year the City of Chehalis diverted an average of 1.63 ft3/s from the N. F. Newaukum River upstream of the station for municipal use.",1.0
12025100,"LOCATION - Lat 46Â°39'40"", long 122Â°58'58"" referenced to North American Datum of 1927, in NE 1/4 NW 1/4 sec.31, T.14 N., R.2 W., Lewis County, WA, Hydrologic Unit 17100103, on right bank at City of Chehalis old (abandoned) wastewater treatment plant, 0.25 mi downstream from State Highway 6 bridge, and at mile 74.3.","GAGE - Water-stage recorder and crest-stage gage. Datum of gage is NAVD of 1988. Prior to May 8, 2018 at same site at datum NGVD of 1929 (levels by Lewis County).",REMARKS - Elevation record only. Probably some diversion upstream for irrigation and domestic use. U.S. Geological Survey satellite telemeter at station.,1.0
